qid,caption_count,grouping,group_count,requires_multiple,coverage,reference_consistency,reason_zh,groups,missing_zh
videomme:601-1,0,not_reviewable,0,unclear,unclear,unclear,历史有题目/判定记录，但没有可恢复的caption选择或时间窗口,,
videomme:601-3,0,not_reviewable,0,unclear,unclear,unclear,历史有题目/判定记录，但没有可恢复的caption选择或时间窗口,,
videomme:602-2,2,single,1,no,sufficient,consistent,题目询问哪个事件发生在1613年之前。Caption明确显示了1242年的“冰上之战”和条顿骑士团（Teutonic Knights），这直接对应选项A，且时间早于1613年。其他选项涉及的时间点（如1613年、18世纪）在提供的片段中未作为主要对比证据出现或已被排除，单组证据即可确定答案。,G01 190.0-210.0s 条顿骑士团与冰上之战,
videomme:603-2,14,multi,3,yes,sufficient,consistent,问题询问结束TB浪漫化的事件。证据分散在多个语义组：首先陈述浪漫化因发现非富人专属而衰退（G01），接着展示工人阶级环境（G02），最后由演讲者总结其本质是贫困/工业革命的产物（G03）。需联合这些片段才能完整回答“TB spread to the working class”这一核心原因及其社会背景。,G01 1380.0-1410.0s 浪漫化衰退与阶级扩散 | G02 1410.0-1440.0s 工人阶级生活场景展示 | G03 1460.0-1510.0s 病因重构：贫困与细菌,
videomme:603-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:604-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:604-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:604-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:605-1,67,multi,3,yes,sufficient,consistent,问题询问视频主旨。视频内容跨越了多个阶段：首先分析解体原因的复杂性（G01），接着展示帝国内部的政治、经济和民族结构以说明其长期存在的基础（G02），最后详述一战导致的领土分裂和解体过程（G03）。要回答“奥匈帝国如何兴衰”，必须综合这三个部分的证据，单一组别无法涵盖“兴起/维持”与“衰落/解体”的全貌。,G01 0.0-70.0s 帝国解体原因与历史背景分析 | G02 160.0-820.0s 帝国政治结构与内部关系展示 | G03 1090.0-1896.0s 一战影响与最终解体过程,
videomme:605-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:606-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:606-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:607-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:607-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:608-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:608-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:609-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:609-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:609-3,20,multi,2,yes,sufficient,consistent,问题询问安条克之后的事件。证据需结合两部分：一是安条克陷落及向耶路撒冷的行军（G01），二是随后发生的对耶路撒冷的围攻行动（G02）。仅凭单组无法完整回答“之后发生了什么”，需联合两组证据确立时间顺序和具体行动。,G01 2300.0-2370.0s 攻陷安条克及后续行军 | G02 2430.0-2550.0s 围攻耶路撒冷,
videomme:610-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:610-2,18,multi,2,yes,sufficient,consistent,问题询问斯坦福桥战役（G01）之后发生的事件。视频先展示斯坦福桥战役，随后在G02中展示诺曼军队登陆黑斯廷斯。回答需要联合这两个语义组来确定时间顺序和事件内容。其他选项如爱德华去世、哈罗德加冕和威廉结婚均发生在斯坦福桥战役之前（见C00084-C00086等），故排除。,G01 1210.0-1240.0s 斯坦福桥战役场景 | G02 1250.0-1280.0s 诺曼军队登陆黑斯廷斯,
videomme:610-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:611-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:611-2,4,multi,2,yes,sufficient,consistent,题目询问视频呈现四件杰作的顺序。证据分布在多个时间窗口：先展示整体排列（C00053/54），后通过特写或分屏详细描述从左至右的具体形象特征（C00056）。需联合这些片段才能确定“埃涅阿斯”、“大卫”、“普鲁托与珀耳塞福涅”、“阿波罗与达芙妮”的对应位置及最终顺序。,G01 530.0-550.0s 四件雕塑全景展示 | G02 560.0-570.0s 从左至右特写扫描,
videomme:611-3,11,multi,2,yes,sufficient,consistent,正确答案涉及两个著名“大卫”雕像的对比以说明从文艺复兴到巴洛克的转变。这需要联合识别代表文艺复兴的米开朗基罗作品（G01）和代表巴洛克的贝尼尼作品（G02），单一组别无法完成对比论证。,G01 850.0-960.0s 米开朗基罗大卫像展示 | G02 860.0-960.0s 贝尼尼大卫像展示,
videomme:612-1,5,multi,2,yes,sufficient,consistent,题目询问人生旅程的顺序。证据分布在两个不同时间段：早期阶段（C00013/14）讲述从卑微到上流社会的上升过程；后期阶段（C00002）讲述离开宫廷隐居农舍。需联合这两组信息才能确定完整的时间顺序，排除其他干扰项。,G01 130.0-150.0s 出身卑微并进入上流社会 | G02 20.0-30.0s 退出公众生活隐居农舍,
videomme:612-2,2,single,1,no,sufficient,consistent,"题目询问关于戈雅和历史背景的正确陈述。Caption C00030和C00031中的旁白内容一致地指出“Ferdinand was a despised dictator, and Goya... had initially supported the aims of the French”，这直接证实了选项B（戈雅起初对费迪南七世非常不满/持负面态度）。虽然涉及两个片段，但它们属于同一语义组（阐述戈雅的政治立场），单凭此信息即可排除其他选项并确定答案，无需联合不同事件组。",G01 300.0-320.0s 戈雅对费迪南七世及法国革命的态度,
videomme:612-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:613-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:613-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:613-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:614-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:614-2,14,multi,2,yes,sufficient,consistent,视频前半部分显示黑衣男子在指挥，后半部分显示白衣老者对他进行点评和具体技法指导（如询问拍号、纠正手势）。这种“演示-反馈-指导”的互动模式跨越了不同阶段，结合标题“Conducting Class”，共同指向师生关系。,G01 0.0-80.0s 黑衣男子指挥排练 | G02 80.0-140.0s 白衣老者指导教学,
videomme:614-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:615-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:615-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:615-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:616-1,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:616-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:616-3,48,multi,2,yes,sufficient,consistent,问题询问在介绍完豆腐制作之后展示了什么。证据分为两个主要阶段：第一阶段是豆腐制作（G01），第二阶段是随后的佛教寺庙参观及精进料理制作（G02）。回答需要结合这两个阶段的顺序关系，确认后续内容为寺庙相关活动，因此需要联合多个组的信息。,G01 1490.0-1650.0s 豆腐制作介绍 | G02 1650.0-1970.0s 佛教寺庙及精进料理,
videomme:617-1,4,multi,2,yes,partial,consistent,问题询问提及吴哥窟的原因（类比论证）。证据需结合埃洛拉本身的特征（G01）和吴哥窟的引入/对比（G02）。虽然参考答案涉及“非居住者建造”的逻辑推断，但视觉上通过叠加不同建筑来暗示这种跨地域或跨文化的比较是核心证据，故需联合两组。Caption未直接包含语音解释，故覆盖度为partial。,G01 1240.0-1260.0s 埃洛拉石窟场景与浮雕 | G02 1250.0-1270.0s 吴哥窟影像叠加对比,关于‘居住者’与‘建造者’身份区别的具体旁白或文字说明
videomme:617-2,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
videomme:617-3,0,not_reviewable,0,unclear,unclear,unclear,历史仅技术失败,,
